bond_sym_id	coupon_rate	issue_date	maturity_date	unsecured_indicator	junior_indicator	convertible_indicator
A.GC	6.5	20071029	20171101	0	0	0
A.GD	4.45	20090914	20120914	0	0	0
A.GE	5.5	20090914	20150914	0	0	0
A.GF	5	20100720	20200715	0	0	0
A.GG	2.5	20100720	20130715	0	0	0
AA.AA	5.4	20110421	20210415	0	0	0
AA.GI	6.75	20020701	20280115	1	0	0
AA.GL	6.5	20020701	20180615	1	0	0
AA.HN	5.375	20020813	20130115	0	0	0
AA.HO	5.95	20070125	20370201	0	0	0
AA.HP	5.55	20070125	20170201	0	0	0
AA.HQ	5.9	20070125	20270201	0	0	0
AA.HT	5.72	20070502	20190223	0	0	0
AA.HU	5.87	20070502	20220223	0	0	0
AA.HV	6	20080715	20130715	0	0	0
AA.HW	6.75	20080715	20180715	0	0	0
AA.HY	6.15	20100803	20200815	0	0	0
AAI.GC	7	20030507	20230701	0	0	0
AAI.GD	5.5	20080430	20150415	0	0	0
AAI.GE	5.25	20091014	20161101	0	0	0
ABC.GH	5.625	20060713	20120915	0	0	0
ABC.GJ	5.875	20060713	20150915	0	0	0
ABC.GK	4.875	20091119	20191115	0	0	0
ABC.GL	3.5	20111114	20211115	0	0	0
ABCD.AD	9.75	20110912	20170215	0	0	0
ABG.GD	8	20040430	20140315	0	1	0
ABS.GH	7.25	20020701	20130501	0	0	0
ABS.GM	7.02	20020701	20170721	0	0	0
ABS.GO	7	20020701	20170721	0	0	0
ABS.GQ	7.11	20020701	20270722	0	0	0
ABS.GT	6.56	20020701	20270726	0	0	0
ABS.GU	6.81	20020701	20120730	0	0	0
ABS.GV	6.82	20020701	20120730	0	0	0
ABS.GZ	6.96	20020701	20170801	0	0	0
ABS.HA	6.35	20020701	20130225	0	0	0
ABS.HC	6.34	20020701	20130225	0	0	0
ABS.HD	6.57	20020701	20280223	0	0	0
ABS.HF	6.53	20020701	20280410	0	0	0
ABS.HG	6.52	20020701	20280410	0	0	0
ABS.HH	6.63	20020701	20280602	0	0	0
ABS.HI	6.625	20020701	20280601	0	0	0
ABT.GJ	4.35	20040318	20140315	0	0	0
ABT.GO	5.875	20060512	20160515	0	0	0
ABT.GU	5.15	20071109	20121130	0	0	0
ABT.GV	5.6	20071109	20171130	0	0	0
ABT.GW	6.15	20071109	20371130	0	0	0
ABT.GX	6	20090303	20390401	0	0	0
ABT.GY	5.125	20090303	20190401	0	0	0
ABT.HB	5.3	20100527	20400527	0	0	0
ABT.HC	4.125	20100527	20200527	0	0	0
ABX.GB	5.8	20041112	20341115	0	0	0
ABX.GH	6.95	20090324	20190401	0	0	0
ABX.GS	1.75	20110907	20140530	0	0	0
ABX.GT	2.9	20110907	20160530	0	0	0
ACAS.GA	8.85	20070719	20120801	0	0	0
ACAS.GB	7.96	20100628	20131231	0	0	0
ACF.GJ	2.125	20060918	20130915	0	0	0
ACF.GL	8.5	20080111	20150701	0	0	0
ACI.AA	8.75	20100818	20160801	0	0	0
ACI.AB	7.25	20100809	20201001	0	0	0
ACOC.GE	10.625	20100514	20150315	0	0	0
ACS.GD	5.2	20050606	20150601	0	0	0
ACUZ.AF	9.5	20110218	20180801	0	0	0
ADBE.GA	3.25	20100201	20150201	0	0	0
ADBE.GB	4.75	20100201	20200201	0	0	0
ADCT.GD	1.1129	20030604	20130615	0	1	0
ADCT.GE	3.5	20071226	20170715	0	1	0
ADCT.GF	3.5	20071226	20150715	0	1	0
ADI.GC	5	20090630	20140701	0	0	0
ADM.GD	8.375	20020701	20170415	0	0	0
ADM.GH	7.5	20020701	20270315	0	0	0
ADM.GI	6.75	20020701	20271215	0	0	0
ADM.GJ	6.95	20020701	20971215	0	0	0
ADM.GL	6.625	20020701	20290501	0	0	0
ADM.GM	7	20020701	20310201	0	0	0
ADM.GO	5.935	20021001	20321001	0	0	0
ADM.GP	5.375	20050922	20350915	0	0	0
ADM.GR	.875	20070222	20140215	0	0	0
ADM.GS	6.45	20071211	20380115	0	0	0
ADM.GT	5.45	20080304	20180315	0	0	0
ADM.GV	4.479	20110404	20210301	0	0	0
ADM.GW	5.765	20110404	20410301	0	0	0
ADS.AC	1.75	20080729	20130801	0	0	0
ADS.GD	4.75	20090602	20140515	0	0	0
AEE.HD	7.95	20030115	20320601	0	0	0
AEE.HY	7	20080701	20180415	0	0	0
AEE.IB	8.875	20090515	20140515	0	0	0
AEE.IC	6.3	20091117	20200401	0	0	0
AEG.GB	4.75	20030520	20130601	0	0	0
AEG.GO	4.625	20091127	20151201	0	0	0
AEL.GC	5.25	20041206	20241206	0	0	0
AEP.JV	5.25	20030520	20150601	0	0	0
AEPI.GD	7.875	20050923	20130315	0	0	0
AEPI.GG	8.25	20110920	20190415	0	0	0
AES.HT	7.75	20040213	20140301	0	0	0
AES.IH	7.75	20080118	20151015	0	0	0
AES.IJ	8	20080118	20171015	0	0	0
AES.IR	8	20090520	20200601	0	0	0
AES.IT	9.75	20100625	20160415	0	0	0
AET.GD	6	20060609	20160615	0	0	0
AET.GE	6.625	20060609	20360615	0	0	0
AET.GF	6.75	20071204	20371215	0	0	0
AET.GL	3.95	20100827	20200901	0	0	0
AFFX.GF	.75	20031215	20331215	0	0	0
AFFX.GG	3.5	20071116	20380115	0	0	0
AFL.GC	8.5	20090521	20190515	0	0	0
AFL.GD	6.9	20091217	20391217	0	0	0
AFL.GF	6.45	20100809	20400815	0	0	0
AFN.GC	7.625	20070515	20270515	0	0	0
AFN.GD	10.5	20110722	20270515	0	0	0
AGEN.GC	5.25	20050125	20250201	0	0	1
AGN.KS	1.5	20060412	20260401	0	0	1
AGN.KU	5.75	20061107	20160401	0	0	0
AGO.GA	7	20040518	20340601	0	0	0
AGP.GC	7.5	20111116	20191115	0	0	0
AGU.GB	7.7	20020701	20170201	0	0	0
AGU.GC	7.8	20020701	20270201	0	0	0
AGU.GE	7.125	20060524	20360523	0	0	0
AGU.GF	6.75	20080911	20190115	0	0	0
AGU.GG	6.125	20101220	20410115	0	0	0
AHG.GB	3.375	20030820	20330901	0	0	0
AHR.GG	11.75	20070829	20270901	0	0	0
AHR.GH	11.75	20070829	20270901	0	0	0
AIG.ALZ	8.85	20080905	20130915	0	0	0
AIG.GAT	4.25	20040420	20130515	0	0	0
AIG.GBC	5	20040513	20130515	0	0	0
AIG.GBD	5.4	20040520	20130515	0	0	0
AIG.GBL	5.5	20040527	20140515	0	0	0
AIG.GBR	5.25	20040604	20121215	0	0	0
AIG.GBS	5.5	20040604	20140615	0	0	0
AIG.GBW	5.25	20040610	20121215	0	0	0
AIG.GBX	5.5	20040610	20140615	0	0	0
AIG.GJM	4.875	20050711	20120715	1	0	0
AIG.GLP	5.4	20051201	20151201	1	0	0
AIG.GMN	6.25	20060823	20360501	0	0	0
AIG.GNC	5.85	20060612	20130601	0	0	0
AIG.GOH	5.4	20060831	20130815	0	0	0
AIG.GOI	5.35	20060908	20120915	0	0	0
AIG.GOP	5.05	20060823	20151001	0	0	0
AIG.GOT	5.25	20060914	20120915	0	0	0
AIG.GOU	5.75	20060911	20160915	0	0	0
AIG.GOZ	5.4	20060921	20130915	0	0	0
AIG.GPC	5.45	20060928	20130915	0	0	0
AIG.GPF	5.15	20061005	20131015	0	0	0
AIG.GPO	5.2	20061013	20131015	0	0	0
AIG.GQM	4.95	20061214	20131215	0	0	0
AIG.GQS	5	20061221	20121215	0	0	0
AIG.GRE	5.1	20061228	20131215	0	0	0
AIG.GXY	5.1	20070329	20140315	0	0	0
AIG.HLC	5.4	20070601	20140615	0	0	0
AIG.HLS	5.5	20070614	20130615	0	0	0
AIG.HMF	5.7	20070706	20140715	0	0	0
AIG.HMN	5.5	20070712	20120715	0	0	0
AIG.HNU	5.5	20070823	20120815	0	0	0
AIG.HNV	5.75	20070823	20140815	0	0	0
AIG.HNY	5.35	20070830	20120815	0	0	0
AIG.HOF	5.75	20070913	20140915	0	0	0
AIG.HOH	5.55	20070920	20140915	0	0	0
AIG.HOO	5.8	20070927	20130915	0	0	0
AIG.HOY	6	20071004	20141015	0	0	0
AIG.HPA	4.875	20110913	20160915	0	0	0
AIG.HPB	4.25	20110913	20140915	0	0	0
AIG.IAA	5.85	20070907	20120915	0	0	0
AIG.IAB	5.9	20070917	20120915	0	0	0
AIG.IAC	6.5	20070917	20170915	0	0	0
AIG.IAL	6	20071012	20141015	0	0	0
AIG.IBQ	6	20071127	20141115	0	0	0
AIG.IBT	5.5	20071206	20121215	0	0	0
AIG.IBU	6	20071206	20141215	0	0	0
AIG.JAA	5.5	20071213	20121215	0	0	0
AIG.JAB	6	20071213	20141215	0	0	0
AIG.JAD	6.9	20071217	20171215	0	0	0
AIG.JAJ	5.5	20080107	20130115	0	0	0
AIG.JAK	6	20080107	20150115	0	0	0
AIG.JBI	5.5	20080320	20130315	0	0	0
AIG.JBT	5.65	20080327	20130315	0	0	0
AIG.JBX	6	20080410	20130415	0	0	0
AIG.JCH	5.25	20080522	20130515	0	0	0
AIG.JCJ	8.25	20080818	20180815	0	0	0
AIG.JCK	9	20080911	20130915	0	0	0
AIG.JCQ	8.25	20090702	20180815	0	0	0
AIG.PAL	6	20071220	20141215	0	0	0
AIG.PAM	5.5	20071220	20130115	0	0	0
AIG.PBO	6	20080403	20130415	0	0	0
AIG.PCR	5.75	20080530	20130515	0	0	0
AIG.PDH	5.75	20080605	20130615	0	0	0
AIG.PDL	6.5	20080612	20150615	0	0	0
AIG.PDV	7	20080619	20150715	0	0	0
AIG.PED	6.75	20080626	20130715	0	0	0
AIG.PEE	7.25	20080626	20150715	0	0	0
AIG.PEL	7.25	20080703	20150715	0	0	0
AIG.PEM	6.75	20080703	20130715	0	0	0
AIG.PES	7.25	20080710	20130715	0	0	0
AIG.PEU	7.5	20080710	20150715	0	0	0
AIG.PMD	6.4	20101203	20201215	0	0	0
AIG.PME	3.65	20101203	20140115	0	0	0
AIG.QR	5.375	20020930	20121001	0	0	0
AIG.UL	4.1	20030717	20120715	0	0	0
AIG.UT	5	20030807	20130815	0	0	0
AIG.UW	5	20030814	20130815	0	0	0
AIG.VM	5	20030828	20120815	0	0	0
AIG.VV	5	20030911	20120915	0	0	0
AIG.XD	4.625	20031017	20121015	0	0	0
AIG.XM	4.75	20031114	20121115	0	0	0
AIG.YW	4.625	20031218	20121215	0	0	0
AIG.ZT	4.25	20040325	20130315	0	0	0
AIN.GB	2.25	20060313	20260315	0	0	0
AIQ.GG	8	20100813	20161201	0	0	0
AIR.GF	1.75	20060201	20260201	0	0	0
AIR.GG	1.625	20080211	20140301	0	0	0
AIR.GH	2.25	20080211	20160301	0	0	0
AIZ.GC	5.625	20040615	20140215	0	0	0
AIZ.GD	6.75	20040615	20340215	0	0	0
AKAM.GD	1	20031212	20331215	0	0	1
