bond_sym_id	gvkey	industry
981811AD4	11600	Steelworks Etc
A.GB	126554	Measuring and Control Equipment
A.GC	126554	Measuring and Control Equipment
A.GD	126554	Measuring and Control Equipment
A.GE	126554	Measuring and Control Equipment
A.GF	126554	Measuring and Control Equipment
A.GG	126554	Measuring and Control Equipment
A3900782	126554	Measuring and Control Equipment
A4020252	126554	Measuring and Control Equipment
A4404722	126554	Measuring and Control Equipment
AA.AA	1356	Steelworks Etc
AA.GC	1356	Steelworks Etc
AA.GD	1356	Steelworks Etc
AA.GE	1356	Steelworks Etc
AA.GF	1356	Steelworks Etc
AA.GG	1356	Steelworks Etc
AA.GH	1356	Steelworks Etc
AA.GI	1356	Steelworks Etc
AA.GL	1356	Steelworks Etc
AA.HM	1356	Steelworks Etc
AA.HN	1356	Steelworks Etc
AA.HO	1356	Steelworks Etc
AA.HP	1356	Steelworks Etc
AA.HQ	1356	Steelworks Etc
AA.HT	1356	Steelworks Etc
AA.HU	1356	Steelworks Etc
AA.HV	1356	Steelworks Etc
AA.HW	1356	Steelworks Etc
AA.HX	1356	Steelworks Etc
AA.HY	1356	Steelworks Etc
AA4165125	1356	Steelworks Etc
AACB.GA	28708	Entertainment
AAI.GB	30399	Transportation
AAI.GC	30399	Transportation
AAI.GD	30399	Transportation
AAI.GE	30399	Transportation
AAII.GA	63604	Business Services
AAL4009127	1045	Transportation
AAMR3706355	1045	Transportation
AAMR3706358	1045	Transportation
AAMR3706362	1045	Transportation
AAMR3706363	1045	Transportation
AAMR3706366	1045	Transportation
AAMR3706373	1045	Transportation
AAP.AA	145977	Retail
AAP.AB	145977	Retail
AAP4076362	145977	Retail
AAPJ.AA	145977	Retail
AAPJ.AB	145977	Retail
AAPL.GA	1690	Computers
AAPL4001806	1690	Computers
AAPL4001808	1690	Computers
AAPL4001809	1690	Computers
AAPL4001810	1690	Computers
AAPL4001811	1690	Computers
AAPL4001812	1690	Computers
AAPL4122386	1690	Computers
AAPL4122387	1690	Computers
AAPL4122390	1690	Computers
AAPL4122391	1690	Computers
AAPL4122392	1690	Computers
AAPL4122395	1690	Computers
AAPL4122398	1690	Computers
AAPL4208635	1690	Computers
AAPL4208636	1690	Computers
AAPL4208638	1690	Computers
AAPL4208639	1690	Computers
AAPL4208641	1690	Computers
AAPL4242662	1690	Computers
AAPL4242663	1690	Computers
AAPL4242664	1690	Computers
AAPL4242665	1690	Computers
AAPL4242667	1690	Computers
AAPL4242668	1690	Computers
AAPL4242669	1690	Computers
AAPL4336432	1690	Computers
AAPL4336433	1690	Computers
AAPL4336434	1690	Computers
AAPL4336435	1690	Computers
AAPL4336436	1690	Computers
AAPL4336437	1690	Computers
AAPL4336438	1690	Computers
AAPL4336439	1690	Computers
