bond_sym_id,coupon_rate,issue_date,maturity_date,unsecured_indicator,junior_indicator,convertible_indicator,gvkey,industry
A.GC,6.5,2007-10-29,20171101,0,0,0,126554,Measuring and Control Equipment
A.GD,4.45,2009-09-14,20120914,0,0,0,126554,Measuring and Control Equipment
A.GE,5.5,2009-09-14,20150914,0,0,0,126554,Measuring and Control Equipment
A.GF,5.0,2010-07-20,20200715,0,0,0,126554,Measuring and Control Equipment
A.GG,2.5,2010-07-20,20130715,0,0,0,126554,Measuring and Control Equipment
AA.AA,5.4,2011-04-21,20210415,0,0,0,1356,Steelworks Etc
AA.HO,5.95,2007-01-25,20370201,0,0,0,1356,Steelworks Etc
AA.HP,5.55,2007-01-25,20170201,0,0,0,1356,Steelworks Etc
AA.HQ,5.9,2007-01-25,20270201,0,0,0,1356,Steelworks Etc
AA.HT,5.72,2007-05-02,20190223,0,0,0,1356,Steelworks Etc
AA.HU,5.87,2007-05-02,20220223,0,0,0,1356,Steelworks Etc
AA.HV,6.0,2008-07-15,20130715,0,0,0,1356,Steelworks Etc
AA.HW,6.75,2008-07-15,20180715,0,0,0,1356,Steelworks Etc
AA.HY,6.15,2010-08-03,20200815,0,0,0,1356,Steelworks Etc
AAI.GD,5.5,2008-04-30,20150415,0,0,0,30399,Transportation
AAI.GE,5.25,2009-10-14,20161101,0,0,0,30399,Transportation
ABC.GH,5.625,2006-07-13,20120915,0,0,0,31673,Wholesale
ABC.GJ,5.875,2006-07-13,20150915,0,0,0,31673,Wholesale
ABC.GK,4.875,2009-11-19,20191115,0,0,0,31673,Wholesale
ABC.GL,3.5,2011-11-14,20211115,0,0,0,31673,Wholesale
ABCD.AD,9.75,2011-09-12,20170215,0,0,0,176939,Printing and Publishing
ABT.GO,5.875,2006-05-12,20160515,0,0,0,1078,Pharmaceutical Products
ABT.GU,5.15,2007-11-09,20121130,0,0,0,1078,Pharmaceutical Products
ABT.GV,5.6,2007-11-09,20171130,0,0,0,1078,Pharmaceutical Products
ABT.GW,6.15,2007-11-09,20371130,0,0,0,1078,Pharmaceutical Products
ABT.GX,6.0,2009-03-03,20390401,0,0,0,1078,Pharmaceutical Products
ABT.GY,5.125,2009-03-03,20190401,0,0,0,1078,Pharmaceutical Products
ABT.HB,5.3,2010-05-27,20400527,0,0,0,1078,Pharmaceutical Products
ABT.HC,4.125,2010-05-27,20200527,0,0,0,1078,Pharmaceutical Products
ABX.GH,6.95,2009-03-24,20190401,0,0,0,2055,Precious Metals
ABX.GS,1.75,2011-09-07,20140530,0,0,0,2055,Precious Metals
ABX.GT,2.9,2011-09-07,20160530,0,0,0,2055,Precious Metals
ACAS.GA,8.85,2007-07-19,20120801,0,0,0,65345,Trading
ACAS.GB,7.96,2010-06-28,20131231,0,0,0,65345,Trading
ACF.GJ,2.125,2006-09-18,20130915,0,0,0,17197,Banking
ACF.GL,8.5,2008-01-11,20150701,0,0,0,17197,Banking
ACI.AA,8.75,2010-08-18,20160801,0,0,0,14793,Coal
ACI.AB,7.25,2010-08-09,20201001,0,0,0,14793,Coal
ACOC.GE,10.625,2010-05-14,20150315,0,0,0,164506,Printing and Publishing
ACS.GD,5.2,2005-06-06,20150601,0,0,0,30697,Business Services
ACUZ.AF,9.5,2011-02-18,20180801,0,0,0,145979,Automobiles and Trucks
ADBE.GA,3.25,2010-02-01,20150201,0,0,0,12540,Business Services
ADBE.GB,4.75,2010-02-01,20200201,0,0,0,12540,Business Services
ADCT.GE,3.5,2007-12-26,20170715,0,1,0,1013,Electrical Equipment
ADCT.GF,3.5,2007-12-26,20150715,0,1,0,1013,Electrical Equipment
ADI.GC,5.0,2009-06-30,20140701,0,0,0,1632,Electrical Equipment
ADM.GP,5.375,2005-09-22,20350915,0,0,0,1722,Food Products
ADM.GR,0.875,2007-02-22,20140215,0,0,0,1722,Food Products
ADM.GS,6.45,2007-12-11,20380115,0,0,0,1722,Food Products
ADM.GT,5.45,2008-03-04,20180315,0,0,0,1722,Food Products
ADM.GV,4.479,2011-04-04,20210301,0,0,0,1722,Food Products
ADM.GW,5.765,2011-04-04,20410301,0,0,0,1722,Food Products
ADS.AC,1.75,2008-07-29,20130801,0,0,0,143974,Business Services
ADS.GD,4.75,2009-06-02,20140515,0,0,0,143974,Business Services
AEE.HY,7.0,2008-07-01,20180415,0,0,0,25495,Petroleum and Natural Gas
AEE.IB,8.875,2009-05-15,20140515,0,0,0,10860,Utilities
AEE.IC,6.3,2009-11-17,20200401,0,0,0,25495,Petroleum and Natural Gas
AEG.GO,4.625,2009-11-27,20151201,0,0,0,15598,Insurance
AEPI.GD,7.875,2005-09-23,20130315,0,0,0,11903,Rubber and Plastic Products
AEPI.GG,8.25,2011-09-20,20190415,0,0,0,11903,Rubber and Plastic Products
AES.IH,7.75,2008-01-18,20151015,0,0,0,24216,Other
AES.IJ,8.0,2008-01-18,20171015,0,0,0,24216,Other
AES.IR,8.0,2009-05-20,20200601,0,0,0,24216,Other
AES.IT,9.75,2010-06-25,20160415,0,0,0,24216,Other
AET.GD,6.0,2006-06-09,20160615,0,0,0,1177,Insurance
AET.GE,6.625,2006-06-09,20360615,0,0,0,1177,Insurance
AET.GF,6.75,2007-12-04,20371215,0,0,0,1177,Insurance
AET.GL,3.95,2010-08-27,20200901,0,0,0,1177,Insurance
AFFX.GG,3.5,2007-11-16,20380115,0,0,0,62990,Measuring and Control Equipment
AFL.GC,8.5,2009-05-21,20190515,0,0,0,1449,Insurance
AFL.GD,6.9,2009-12-17,20391217,0,0,0,1449,Insurance
AFL.GF,6.45,2010-08-09,20400815,0,0,0,1449,Insurance
AFN.GC,7.625,2007-05-15,20270515,0,0,0,175674,Trading
AFN.GD,10.5,2011-07-22,20270515,0,0,0,175674,Trading
AGEN.GC,5.25,2005-01-25,20250201,0,0,1,129466,Pharmaceutical Products
AGN.KS,1.5,2006-04-12,20260401,0,0,1,15708,Pharmaceutical Products
AGN.KU,5.75,2006-11-07,20160401,0,0,0,15708,Pharmaceutical Products
AGP.GC,7.5,2011-11-16,20191115,0,0,0,145367,Insurance
AGU.GE,7.125,2006-05-24,20360523,0,0,0,28169,Chemicals
AGU.GF,6.75,2008-09-11,20190115,0,0,0,28169,Chemicals
AGU.GG,6.125,2010-12-20,20410115,0,0,0,28169,Chemicals
AHR.GG,11.75,2007-08-29,20270901,0,0,0,66688,Trading
AHR.GH,11.75,2007-08-29,20270901,0,0,0,66688,Trading
AIG.ALZ,8.85,2008-09-05,20130915,0,0,0,3591,Banking
AIG.GJM,4.875,2005-07-11,20120715,1,0,0,3591,Banking
AIG.GLP,5.4,2005-12-01,20151201,1,0,0,3591,Banking
AIG.GMN,6.25,2006-08-23,20360501,0,0,0,1487,Insurance
AIG.GNC,5.85,2006-06-12,20130601,0,0,0,3591,Banking
AIG.GOH,5.4,2006-08-31,20130815,0,0,0,3591,Banking
AIG.GOI,5.35,2006-09-08,20120915,0,0,0,3591,Banking
AIG.GOP,5.05,2006-08-23,20151001,0,0,0,1487,Insurance
AIG.GOT,5.25,2006-09-14,20120915,0,0,0,3591,Banking
AIG.GOU,5.75,2006-09-11,20160915,0,0,0,3591,Banking
AIG.GOZ,5.4,2006-09-21,20130915,0,0,0,3591,Banking
AIG.GPC,5.45,2006-09-28,20130915,0,0,0,3591,Banking
AIG.GPF,5.15,2006-10-05,20131015,0,0,0,3591,Banking
AIG.GPO,5.2,2006-10-13,20131015,0,0,0,3591,Banking
AIG.GQM,4.95,2006-12-14,20131215,0,0,0,3591,Banking
AIG.GQS,5.0,2006-12-21,20121215,0,0,0,3591,Banking
AIG.GRE,5.1,2006-12-28,20131215,0,0,0,3591,Banking
AIG.GXY,5.1,2007-03-29,20140315,0,0,0,3591,Banking
AIG.HLC,5.4,2007-06-01,20140615,0,0,0,3591,Banking
AIG.HLS,5.5,2007-06-14,20130615,0,0,0,3591,Banking
AIG.HMF,5.7,2007-07-06,20140715,0,0,0,3591,Banking
AIG.HMN,5.5,2007-07-12,20120715,0,0,0,3591,Banking
AIG.HNU,5.5,2007-08-23,20120815,0,0,0,3591,Banking
AIG.HNV,5.75,2007-08-23,20140815,0,0,0,3591,Banking
AIG.HNY,5.35,2007-08-30,20120815,0,0,0,3591,Banking
AIG.HOF,5.75,2007-09-13,20140915,0,0,0,3591,Banking
AIG.HOH,5.55,2007-09-20,20140915,0,0,0,3591,Banking
AIG.HOO,5.8,2007-09-27,20130915,0,0,0,3591,Banking
AIG.HOY,6.0,2007-10-04,20141015,0,0,0,3591,Banking
AIG.HPA,4.875,2011-09-13,20160915,0,0,0,1487,Insurance
AIG.HPB,4.25,2011-09-13,20140915,0,0,0,1487,Insurance
AIG.IAA,5.85,2007-09-07,20120915,0,0,0,3591,Banking
AIG.IAB,5.9,2007-09-17,20120915,0,0,0,3591,Banking
AIG.IAC,6.5,2007-09-17,20170915,0,0,0,3591,Banking
AIG.IAL,6.0,2007-10-12,20141015,0,0,0,3591,Banking
AIG.IBQ,6.0,2007-11-27,20141115,0,0,0,3591,Banking
AIG.IBT,5.5,2007-12-06,20121215,0,0,0,3591,Banking
AIG.IBU,6.0,2007-12-06,20141215,0,0,0,3591,Banking
AIG.JAA,5.5,2007-12-13,20121215,0,0,0,3591,Banking
AIG.JAB,6.0,2007-12-13,20141215,0,0,0,3591,Banking
AIG.JAD,6.9,2007-12-17,20171215,0,0,0,3591,Banking
AIG.JAJ,5.5,2008-01-07,20130115,0,0,0,3591,Banking
AIG.JAK,6.0,2008-01-07,20150115,0,0,0,3591,Banking
AIG.JBI,5.5,2008-03-20,20130315,0,0,0,3591,Banking
